,count,user
4887,1066,U10220@DOM1
5322,871,U10221@DOM1
10253,15,U10222@DOM1
7170,292,U10223@DOM1
5321,871,U10226@DOM1
7046,315,U10227@DOM1
5897,656,U1022@DOM1
5678,733,U10230@DOM1
7798,187,U10232@DOM1
8772,81,U10234@DOM1
6622,424,U10237@DOM1
7137,299,U10238@DOM1
2837,2133,U1023@DOM1
6126,582,U10240@DOM1
4882,1068,U10241@DOM1
4105,1430,U10242@DOM1
9653,33,U10243@C18994
7218,282,U10245@DOM1
7686,204,U10248@DOM1
10146,17,U10249@C12030
7100,305,U1024@DOM1
8681,88,U10250@DOM1
8491,108,U10251@DOM1
9737,30,U10252@C8752
9319,47,U10252@C9341
10384,11,U10253@C829
9265,50,U10254@DOM1
9403,43,U10255@DOM1
7432,241,U10256@C21670
7143,298,U10257@DOM1
7671,205,U10259@DOM1
92,42974,U1025@DOM1
7174,291,U10261@DOM1
8465,110,U10262@C21670
9039,62,U10262@C21683
4802,1104,U10263@DOM1
5448,825,U10265@DOM1
9012,64,U10267@DOM1
4667,1162,U10268@DOM1
9026,63,U10269@DOM1
4617,1184,U1026@DOM1
9558,37,U10271@DOM1
9802,29,U10272@DOM1
7386,252,U10274@DOM1
5593,764,U10275@DOM1
7939,168,U10276@DOM1
5943,638,U10277@DOM1
9391,44,U10278@DOM1
1013,4770,U10279@DOM1
5013,1004,U1027@DOM1
5191,926,U10280@C21753
10252,15,U10282@DOM1
9697,32,U10283@DOM1
9006,64,U10284@DOM1
10508,6,U10285@DOM1
9494,40,U10286@DOM1
8321,123,U10287@DOM1
6756,386,U10288@DOM1
6841,365,U10289@DOM1
6745,388,U1028@DOM1
9225,52,U10291@DOM1
7632,211,U10295@DOM1
8157,139,U10296@DOM1
9826,28,U10297@DOM1
9785,29,U10298@DOM1
9378,44,U10299@DOM1
4682,1156,U102@DOM1
7135,299,U10300@DOM1
8524,104,U10302@DOM5
9076,60,U10304@DOM1
9084,60,U10305@C24681
8854,74,U10309@DOM1
5638,744,U1030@DOM1
8305,124,U10310@DOM1
7147,297,U10311@DOM1
8870,73,U10312@DOM1
367,16614,U10314@C21853
8674,89,U10315@DOM1
8909,70,U10316@DOM1
4923,1045,U1031@DOM1
7157,295,U10320@DOM1
7463,237,U10322@DOM1
8621,95,U10329@DOM1
1619,3338,U1032@DOM1
6643,416,U10330@DOM1
9671,33,U10331@DOM1
9529,38,U10332@DOM1
8259,128,U10335@DOM1
1890,2971,U10336@DOM1
9761,30,U10338@DOM1
7365,256,U10339@DOM1
2735,2204,U1033@DOM1
4596,1195,U10341@DOM1
8175,138,U10345@DOM1
8687,88,U10346@DOM1
4363,1309,U10347@DOM1
8756,82,U10348@DOM1
2738,2202,U10349@DOM1
4571,1204,U1034@DOM1
9294,48,U10350@DOM1
10432,9,U10352@DOM1
2345,2507,U10353@DOM1
10367,11,U10354@DOM1
9465,41,U10355@DOM1
5771,701,U10356@DOM1
10221,15,U10357@DOM1
6264,533,U10358@DOM1
9796,29,U10359@DOM1
4073,1443,U1035@DOM1
9599,36,U10360@DOM1
8225,132,U10362@DOM1
8784,80,U10367@DOM1
9999,22,U10368@DOM1
5429,830,U1036@DOM1
7855,178,U10371@C21979
9102,59,U10372@DOM1
9458,41,U10373@DOM1
9884,26,U10374@DOM4
6150,574,U10377@DOM1
2619,2284,U1037@DOM1
10036,21,U10382@C12399
10329,13,U10384@DOM1
8892,71,U10386@DOM1
10059,20,U10388@DOM1
8427,115,U10389@DOM1
9452,41,U10392@DOM1
8951,68,U10393@DOM1
10395,10,U10395@C11356
10317,13,U10395@C1165
10251,15,U10395@C147
9850,27,U10395@C26249
9544,38,U10395@C26256
10119,18,U10395@C7225
6408,492,U10396@DOM1
10520,5,U10397@DOM1
7637,210,U10399@DOM1
9895,26,U103@C1715
8127,143,U103@C1745
6716,396,U103@C1871
10615,1,U103@C943
4621,1183,U103@DOM1
8709,86,U10400@C22037
8754,82,U10401@DOM1
6804,373,U10403@DOM1
9776,29,U10404@DOM1
6580,435,U10405@C22042
9574,37,U10406@DOM1
9820,28,U10408@DOM1
8031,155,U1040@DOM1
6763,384,U10410@DOM1
8667,90,U10411@C382
7960,165,U10412@DOM1
7954,166,U10414@DOM1
10248,15,U10415@DOM1
7243,277,U10416@DOM1
9730,30,U10419@C22224
6173,567,U1041@DOM1
7952,166,U10420@DOM1
7520,228,U10421@DOM1
6137,577,U10422@DOM1
9842,27,U10425@DOM1
9299,48,U10426@C565
9549,38,U10428@DOM1
7383,252,U10429@DOM1
3575,1703,U1042@DOM1
7205,285,U10430@C5010
6677,406,U10431@DOM1
8566,101,U10433@DOM1
10112,18,U10436@DOM1
4365,1309,U1043@DOM1
8729,84,U10440@DOM1
8796,79,U10441@DOM1
10048,21,U10443@DOM1
9068,61,U10444@C18741
9459,41,U10445@DOM1
7786,189,U10446@DOM1
2445,2419,U1044@DOM1
5309,875,U10451@DOM1
8549,102,U10452@DOM1
10121,18,U10453@C15146
7797,187,U10454@DOM1
5937,640,U10457@DOM1
777,6181,U1045@DOM1
10453,8,U10460@C11764
9176,55,U10461@DOM1
7187,289,U10463@DOM1
7330,260,U10464@DOM1
8748,83,U10466@C20353
8552,102,U10467@DOM1
9388,44,U10468@C21686
9411,43,U10468@C23208
2940,2074,U1046@DOM1
10089,19,U10470@C14601
9512,39,U10471@DOM1
9384,44,U10474@DOM1
9509,39,U10475@DOM1
4131,1418,U1047@DOM1
625,8482,U10481@DOM1
8580,100,U10482@DOM1
10473,8,U10483@DOM1
4795,1107,U10484@DOM1
8802,78,U10485@DOM1
3384,1807,U10486@DOM1
3584,1699,U10488@DOM1
596,9009,U1048@DOM1
10327,13,U10491@DOM1
3968,1503,U10492@DOM1
9762,30,U10496@DOM1
10613,1,U10498@C18933
10155,17,U10498@C20831
9954,24,U10498@C26040
10559,4,U10498@C9855
2193,2637,U10499@DOM1
6242,543,U1049@DOM1
2644,2268,U104@DOM1
7412,247,U10501@DOM1
7267,272,U10503@C19673
8768,81,U10506@DOM1
6648,415,U10507@DOM1
9669,33,U10508@C22309
1413,3661,U1050@DOM1
7769,190,U10510@DOM1
9684,32,U10511@C20505
6754,386,U10513@DOM1
8563,101,U10514@DOM1
8274,126,U10516@DOM1
8996,65,U10517@DOM1
10565,3,U10518@C20831
4823,1093,U1051@DOM1
9639,34,U10520@DOM1
1583,3382,U10521@DOM1
8423,115,U10522@DOM1
8770,81,U10524@DOM1
8488,108,U10527@DOM1
4253,1359,U10528@DOM1
5040,995,U10529@DOM1
7729,197,U1052@DOM1
9964,23,U10531@C20085
10321,13,U10531@C22421
792,6065,U10533@DOM1
10275,14,U10534@DOM1
9476,40,U10536@DOM1
9900,25,U10538@DOM1
748,6540,U1053@DOM1
5421,832,U10540@DOM1
9706,31,U10542@DOM1
8165,139,U10546@DOM1
7659,207,U10548@DOM1
5417,833,U1054@DOM1
8489,108,U10555@DOM1
1167,4242,U10557@DOM1
8935,69,U10559@DOM1
7215,283,U1055@DOM1
9489,40,U10560@DOM1
7431,242,U10561@DOM1
6113,587,U10564@DOM1
7438,240,U10565@DOM1
2402,2454,U10566@DOM1
5736,712,U10567@DOM1
8040,154,U10569@DOM1
1466,3565,U1056@DOM1
8394,116,U10570@DOM1
7616,213,U10572@DOM1
8058,152,U10573@DOM1
10117,18,U10575@DOM1
9786,29,U10578@C22436
6967,335,U10579@DOM1
2373,2482,U1057@DOM1
7812,184,U10580@DOM1
8014,158,U10581@DOM1
10416,10,U10582@C4724
6322,514,U10585@DOM1
10323,13,U10587@DOM1
8850,74,U10588@DOM1
1649,3290,U10589@DOM1
3856,1563,U1058@DOM1
3559,1710,U10590@DOM1
2281,2566,U10591@DOM1
10107,18,U10592@DOM1
3526,1731,U10593@DOM1
7000,326,U10594@DOM1
4585,1199,U10595@DOM1
9892,26,U10598@C4273
5142,947,U10599@DOM1
5044,992,U1059@DOM1
1989,2853,U105@DOM1
4789,1111,U10600@DOM1
7720,198,U10601@DOM1
8855,74,U10602@C22275
9153,56,U10603@DOM1
4828,1090,U10605@DOM1
4542,1219,U10606@DOM1
9524,38,U10607@DOM1
6969,335,U10608@DOM1
9594,36,U10609@DOM1
5004,1007,U1060@DOM1
7277,270,U10610@DOM1
2981,2056,U10611@DOM1
234,26264,U10612@DOM1
9454,41,U10613@DOM1
8989,65,U10614@DOM1
7658,207,U10615@DOM1
4957,1025,U10616@DOM1
9269,50,U10617@DOM1
6336,510,U10619@DOM1
3256,1889,U1061@DOM1
8107,146,U10622@DOM1
4558,1211,U10624@DOM1
7260,273,U10626@DOM1
6579,436,U10627@DOM1
8182,137,U10628@DOM1
5898,655,U1062@DOM1
998,4813,U10630@DOM1
10310,14,U10631@DOM1
10104,18,U10632@C13738
10271,14,U10637@C4690
10431,9,U10638@C1140
5708,722,U1063@DOM1
10279,14,U10641@DOM1
8506,106,U10644@DOM1
6409,491,U10645@DOM1
7947,167,U10646@DOM1
9001,64,U10647@DOM1
8959,67,U10648@DOM1
2368,2487,U1064@DOM1
9809,29,U10653@C3552
7674,205,U10654@C22638
9360,45,U10655@DOM1
10548,4,U10656@DOM5
10461,8,U10657@DOM1
8270,127,U10659@C17909
7725,198,U10659@C700
1510,3480,U1065@DOM1
8216,134,U10660@DOM1
7660,207,U10661@DOM1
10283,14,U10662@DOM1
10270,14,U10664@C1267
10465,8,U10664@C22644
4813,1096,U10669@DOM1
7288,268,U1066@DOM1
9800,29,U10673@DOM1
7049,314,U10675@DOM1
4484,1249,U1067@DOM1
8365,119,U10682@DOM1
9122,58,U10683@DOM1
10191,16,U10686@DOM1
9862,27,U10689@DOM1
3950,1511,U1068@DOM1
6398,494,U10690@DOM1
8697,87,U10698@DOM1
8623,95,U10699@C22731
7417,246,U1069@DOM1
2156,2689,U106@DOM1
9324,47,U10708@DOM1
7796,187,U10709@DOM1
1301,3907,U1070@DOM1
8083,149,U10712@DOM1
9736,30,U10715@DOM1
9178,55,U10716@C2873
9860,27,U10718@C18540
3697,1646,U1071@DOM1
6773,382,U10720@DOM1
9734,30,U10722@C15841
9651,34,U10722@C15990
10162,17,U10722@C17718
9747,30,U10722@C20389
9186,55,U10722@C22766
9295,48,U10722@C37
9932,24,U10722@C5065
9680,32,U10722@C5246
9880,26,U10723@DOM1
7019,321,U10724@DOM1
9775,29,U10726@DOM1
4871,1075,U10728@DOM1
8382,118,U10729@DOM1
1011,4776,U1072@DOM1
9022,63,U10732@C20342
6129,581,U10734@DOM1
6328,512,U10736@DOM1
9668,33,U10738@C20642
8664,90,U10739@DOM1
2666,2250,U1073@DOM1
10272,14,U10740@DOM1
8675,89,U10743@C1933
9832,28,U10744@DOM1
7555,223,U10747@DOM1
2322,2527,U1074@DOM1
7309,264,U10750@DOM1
3195,1925,U10759@DOM1
3708,1641,U1075@DOM1
7506,230,U10760@DOM1
4579,1201,U10761@DOM1
8978,66,U10762@DOM1
9352,45,U10764@C22902
3506,1742,U10765@C22903
8965,67,U10766@C22901
6166,569,U10767@C22908
10569,3,U10768@C22899
8158,139,U1076@DOM1
3692,1647,U10771@DOM1
10246,15,U10773@DOM1
6757,386,U10775@DOM1
9801,29,U10776@C2005
9067,61,U1077@DOM1
9444,42,U10780@C2683
10490,7,U10781@C16580
10466,8,U10781@C319
9169,56,U10782@DOM1
9370,45,U10789@DOM1
8264,128,U1078@DOM1
8256,129,U10790@DOM1
5012,1004,U10791@DOM1
10428,9,U10793@C7113
7476,235,U10797@DOM1
8243,130,U1079@DOM1
3070,1998,U107@DOM1
8582,100,U10801@DOM1
8983,66,U10808@DOM1
9510,39,U1080@DOM1
9044,62,U10812@DOM1
9491,40,U10815@DOM1
9433,42,U10816@C3116
9291,48,U10818@DOM1
6525,453,U1081@DOM1
10435,9,U10821@DOM1
9005,64,U10823@DOM1
7232,280,U10824@DOM1
7116,302,U10826@DOM1
940,5034,U10827@DOM1
1355,3787,U10829@DOM1
4243,1363,U1082@DOM1
10180,16,U10832@DOM1
3317,1855,U10835@DOM1
9202,54,U10836@DOM1
7613,214,U10838@DOM1
7087,307,U1083@DOM1
9267,50,U10843@DOM1
8410,116,U10844@DOM1
8119,144,U10846@C1864
3041,2018,U10847@DOM1
4867,1077,U1084@DOM1
9929,24,U10850@DOM1
9778,29,U10856@C12951
1193,4173,U1085@DOM1
3830,1575,U10861@DOM1
9746,30,U10864@DOM1
4940,1033,U10867@DOM1
6740,389,U10868@DOM1
6419,489,U10869@DOM1
5395,842,U1086@DOM1
10450,8,U10872@C17943
8012,158,U10873@DOM1
9627,34,U10874@DOM1
6659,411,U10875@DOM1
9931,24,U10877@C2637
9469,41,U10878@C2637
9428,42,U10879@C2637
4286,1345,U1087@DOM1
1273,3956,U10880@DOM1
9096,59,U10882@DOM1
10060,20,U10883@C11190
10619,1,U10883@C2855
10598,2,U10883@C3536
694,7293,U10884@C347
2423,2444,U10886@DOM1
4796,1107,U10888@DOM1
964,4889,U1088@DOM1
6151,573,U10891@DOM1
8529,104,U10892@DOM1
5440,828,U10893@C23259
6727,392,U10893@C23569
10612,1,U10896@DOM1
79,50598,U10899@DOM3
10333,13,U1089@C765
1020,4739,U1089@DOM1
1309,3890,U108@DOM1
9016,63,U10900@DOM1
9017,63,U10901@DOM1
8863,74,U10903@DOM1
10133,18,U10904@DOM3
7580,219,U10905@DOM3
9216,53,U10906@DOM3
9445,42,U10908@DOM1
10538,4,U10909@DOM5
5478,813,U1090@DOM1
9272,49,U10912@DOM1
8829,77,U10917@DOM1
3127,1963,U10919@DOM1
8874,73,U1091@DOM1
10000,22,U10920@DOM1
8639,94,U10923@DOM1
8968,67,U10924@DOM1
10547,4,U10926@C23341
2009,2835,U10929@DOM1
3593,1693,U1092@DOM1
7677,204,U10930@DOM1
10120,18,U10934@C23393
8591,99,U10935@DOM1
8878,73,U10936@DOM1
8359,119,U10937@C4623
7651,208,U1093@DOM1
8295,125,U10944@DOM1
9854,27,U10945@C1280
7454,238,U10945@C22423
9302,48,U10947@C23406
9566,37,U10949@DOM1
1033,4676,U1094@DOM1
10161,17,U10951@DOM1
10263,14,U10955@DOM1
9056,61,U10958@DOM1
9328,46,U10959@DOM1
2304,2546,U1095@DOM1
7289,268,U10960@DOM1
9196,54,U10962@DOM1
4464,1260,U10964@DOM1
8783,80,U10965@DOM1
10182,16,U10968@DOM1
10054,20,U10969@DOM1
130,34958,U1096@DOM1
10093,19,U10972@C8577
10356,12,U10973@DOM1
9906,25,U10976@C23456
10506,6,U10979@C9157
1764,3129,U1097@DOM1
5464,819,U10980@DOM1
10100,19,U10982@C1346
10417,10,U10982@C14599
5668,736,U10983@C22710
7879,175,U10984@DOM1
10033,21,U10989@DOM1
8483,108,U1098@DOM1
9446,41,U10992@DOM1
10163,17,U10993@DOM1
6949,340,U10994@DOM1
9435,42,U10996@DOM1
9087,60,U10997@DOM1
3693,1646,U10998@DOM1
7411,248,U10999@DOM1
881,5335,U1099@DOM1
2376,2481,U10@DOM1
7141,298,U11000@DOM1
6703,401,U11001@DOM1
9031,63,U11002@DOM1
9246,51,U11009@DOM1
6994,328,U1100@DOM1
9799,29,U11011@DOM1
10328,13,U11013@DOM1
7381,252,U11015@DOM1
7893,174,U11016@DOM1
10320,13,U11017@DOM1
8896,71,U11019@C23038
4584,1199,U1101@DOM1
10165,17,U11022@DOM1
6241,543,U11023@DOM1
920,5175,U11026@DOM1
9224,52,U11027@DOM1
10382,11,U11029@DOM1
6044,608,U1102@DOM1
4328,1328,U11035@DOM1
7949,167,U11036@C23627
7999,159,U11038@DOM1
6045,608,U1103@DOM1
506,10797,U11041@DOM1
806,5931,U11042@DOM1
9625,35,U11045@DOM1
9530,38,U11046@DOM1
6420,489,U11049@DOM1
7334,260,U1104@DOM1
9659,33,U11052@DOM1
9163,56,U11054@C9506
8147,141,U11055@DOM1
9497,40,U11056@DOM1
10167,17,U11057@C1832
9744,30,U11057@C20513
10261,14,U11059@DOM1
4018,1471,U1105@DOM1
8952,68,U11060@DOM1
9745,30,U11061@DOM1
8624,95,U11063@DOM1
10243,15,U11064@C4051
10042,21,U11065@C1200
10316,14,U11065@C22693
9969,23,U11065@C25941
10136,17,U11066@DOM1
8593,99,U11067@DOM1
8977,66,U11068@DOM1
8869,73,U11069@DOM1
9752,30,U1106@C21919
987,4833,U1106@DOM1
10524,5,U11072@C23706
2879,2109,U1107@DOM1
9288,48,U11081@DOM1
9301,48,U11082@DOM1
5592,764,U11083@DOM1
9233,52,U11086@DOM1
9131,57,U11087@DOM1
7746,195,U11088@DOM1
2235,2602,U1108@DOM1
9397,43,U11091@C23740
6130,581,U11095@DOM1
4529,1225,U11096@DOM1
7992,160,U11099@DOM1
7553,223,U1109@DOM1
3206,1921,U11101@DOM1
9711,31,U11102@DOM1
7163,294,U11103@C13933
7863,177,U11103@C22749
10517,5,U11103@C23758
8317,123,U11104@DOM1
6060,603,U11108@DOM1
1400,3681,U1110@DOM1
3747,1621,U11113@DOM1
6766,383,U11115@C18238
8130,143,U11117@DOM1
298,19423,U1111@DOM1
9409,43,U11120@DOM1
10280,14,U11127@DOM1
5039,995,U1112@DOM1
8939,69,U11130@DOM1
10047,21,U11135@DOM1
10340,12,U11136@DOM1
8257,129,U11138@DOM1
4351,1314,U1113@DOM1
9879,26,U11140@DOM1
7993,160,U11141@DOM1
9624,35,U11143@C3061
10014,22,U11144@C20470
9891,26,U11145@C23845
10023,22,U11146@C23842
9985,23,U11148@C23848
9520,39,U11149@DOM1
829,5744,U1114@DOM1
5675,734,U11154@DOM1
8178,138,U11156@DOM1
4317,1332,U1115@DOM1
9506,39,U11161@DOM1
9464,41,U11162@DOM1
9148,56,U11164@DOM1
9515,39,U11166@DOM1
9280,49,U11167@DOM1
10068,20,U11169@DOM1
8282,126,U1116@DOM1
9405,43,U11170@C12537
8967,67,U11172@DOM1
9622,35,U11174@DOM1
8879,73,U11179@C374
5552,783,U1117@DOM1
9889,26,U11180@DOM1
9629,34,U11181@DOM1
9613,35,U11182@DOM1
7822,183,U11185@DOM1
6497,463,U11186@DOM1
8389,117,U11187@DOM1
5957,632,U1118@DOM1
10557,4,U11190@C1921
10578,3,U11190@C3088
10370,11,U11190@DOM1
9595,36,U11192@DOM1
10201,16,U11193@DOM1
8773,81,U11196@DOM1
3743,1625,U1119@DOM1
4602,1194,U111@DOM1
3141,1956,U11203@DOM1
9448,41,U11206@DOM1
9847,27,U11207@DOM1
8705,86,U11208@DOM1
10137,17,U11209@DOM5
7862,177,U1120@DOM1
8680,89,U11210@DOM1
10238,15,U11213@DOM1
9735,30,U11215@DOM1
10305,14,U11216@DOM1
10242,15,U11217@C6306
7899,173,U11218@DOM1
6019,615,U1121@DOM1
7896,174,U11220@C23969
8808,78,U11222@DOM1
6369,502,U11223@DOM1
4191,1386,U11225@DOM1
9852,27,U11228@C6022
9317,47,U11229@C15651
2477,2397,U1122@DOM1
8758,82,U11231@C24059
9845,27,U11232@DOM1
7864,177,U11233@DOM1
9853,27,U11235@DOM1
6317,515,U11239@DOM1
782,6164,U1123@DOM1
6128,582,U11240@DOM1
9610,35,U11244@DOM1
6663,410,U11246@DOM1
6313,518,U1124@DOM1
9590,36,U11252@C5181
6976,334,U11258@DOM1
9091,59,U11259@DOM1
6238,543,U1125@DOM1
10114,18,U11261@DOM1
10361,12,U11262@C16289
9933,24,U11262@C17901
10583,2,U11262@C23456
9009,64,U11262@C2700
10439,9,U11267@C13853
9013,64,U11267@C172
10325,13,U11268@DOM1
4386,1297,U11269@DOM1
5586,767,U11272@DOM1
10208,16,U11273@DOM1
9838,27,U11279@DOM1
2820,2146,U1127@DOM1
9214,53,U11282@DOM1
10337,13,U11283@DOM1
9228,52,U11285@DOM1
7774,189,U11286@DOM1
9058,61,U11288@DOM1
5788,696,U1128@DOM1
6216,552,U11293@DOM1
1872,2983,U1129@DOM1
20,118298,U112@DOM1
8516,105,U11300@DOM1
10276,14,U11302@DOM1
8211,134,U11307@DOM1
9395,43,U11308@DOM1
1572,3395,U1130@DOM1
8226,132,U11312@C1252
10216,15,U11313@C14431
10008,22,U11313@C6857
9501,39,U11314@DOM1
8364,119,U11316@DOM1
6164,570,U11318@C24304
4921,1047,U1131@DOM1
10189,16,U11322@DOM1
1520,3466,U1132@DOM1
10351,12,U11332@DOM1
9168,56,U11333@DOM1
9631,34,U1133@DOM1
9863,26,U1133@DOM3
9195,54,U11341@DOM1
8955,68,U11346@DOM1
9166,56,U11349@DOM1
4589,1198,U1134@DOM1
8519,105,U11355@DOM1
10408,10,U11357@C24359
9255,51,U11358@C18754
3544,1722,U1135@DOM1
10346,12,U11362@C1274
9887,26,U11362@C1505
9700,31,U11362@C20620
9263,50,U11362@C21377
9326,47,U11362@C24311
10348,12,U11362@C24313
9345,46,U11362@C24315
9418,43,U11362@C24383
8312,124,U11362@C24395
8615,96,U11362@C24397
8868,73,U11362@C24417
9533,38,U11362@C24418
9760,30,U11362@C24420
9417,43,U11362@C24422
9270,50,U11362@C24424
9573,37,U11362@C24426
9835,28,U11362@C24430
9663,33,U11362@C341
9239,52,U11362@C3514
8801,78,U11363@C2125
5439,828,U11365@C698
9455,41,U11367@DOM1
10434,9,U11368@C24383
4327,1328,U1136@DOM1
10475,8,U11370@DOM1
10043,21,U11371@DOM1
10154,17,U11377@C14866
135,34452,U11377@C14870
2104,2742,U1137@DOM1
8636,94,U11380@DOM1
7547,224,U11383@DOM1
4473,1255,U11384@DOM1
10087,19,U11385@DOM1
8293,125,U11386@DOM1
4981,1014,U1138@DOM1
9029,63,U11393@DOM1
7512,229,U11395@DOM1
10177,16,U11397@DOM1
6844,364,U11399@DOM1
2824,2144,U1139@DOM1
9114,58,U11400@DOM1
7526,227,U11401@DOM1
4258,1357,U1140@DOM1
10495,7,U11412@C2827
5716,720,U11413@DOM1
10018,22,U11417@C13287
9703,31,U11418@DOM1
7380,253,U1141@DOM1
8894,71,U11420@DOM1
9983,23,U11421@DOM1
9911,25,U11422@C1657
10386,11,U11424@C24521
5823,684,U11425@DOM1
6178,566,U11426@DOM1
8781,80,U11428@DOM1
7212,284,U11429@DOM1
3940,1516,U1142@DOM1
8554,102,U11431@C24588
8208,134,U11431@DOM1
10052,20,U11435@DOM1
6443,481,U11438@C16377
9107,58,U11440@DOM1
7193,288,U11444@DOM1
9908,25,U11446@DOM1
4324,1329,U11447@DOM1
7490,233,U11448@DOM1
8904,71,U11449@DOM1
5977,625,U1144@DOM1
9436,42,U11451@DOM1
10058,20,U11452@C5008
2708,2224,U11453@DOM1
10309,14,U11454@C24521
10463,8,U11456@DOM1
6240,543,U11457@DOM1
10300,14,U1145@C1952
10078,19,U1145@C2772
1168,4237,U1145@DOM1
10556,4,U11461@C24624
8575,100,U11467@DOM1
10202,16,U11468@DOM1
9867,26,U11469@DOM1
8057,152,U1146@DOM1
7716,199,U11470@DOM1
9817,28,U11471@C24484
6321,514,U11473@DOM1
8683,88,U11476@DOM1
8320,123,U11477@DOM1
7414,247,U11479@C24711
5213,916,U1147@DOM1
9661,33,U11481@C4573
8136,143,U11484@DOM1
10140,17,U11489@DOM1
1148,4301,U1148@DOM1
4103,1430,U11491@DOM1
8822,77,U11493@DOM1
